Timestamp,Temperature,Humidity,AirQuality,Dust,Source,Temp_Hum_Index,Air_Dust_Product,AirQuality_Log,Dust_Log,Air_Dust_Ratio,Anomaly,Norm_Air,Norm_Dust,Norm_Product,Kitchen_Penalty,Weighted_Score,AI_Score,AI_Category
155802,28.5,85.0,173.8,121.4,indoor,24.225,21099.320000000003,5.163642463221435,4.807294370078226,1.419934640522876,-1,0.06952,0.48560000000000003,0.033758912,0.0,0.2252654368,90.1,GOOD
160802,28.5,85.0,150.3,121.2,indoor,24.225,18216.36,5.01926462079431,4.805659046737495,1.229950900163666,-1,0.06012000000000001,0.4848,0.029146176,0.0,0.21988552640000003,87.6,GOOD
165802,28.5,85.0,154.0,120.8,indoor,24.225,18603.2,5.043425116919247,4.802380355275797,1.264367816091954,-1,0.0616,0.48319999999999996,0.029765120000000003,0.0,0.22033676800000002,87.8,GOOD
170802,28.5,85.0,150.3,120.8,indoor,24.225,18156.24,5.01926462079431,4.802380355275797,1.2339901477832511,-1,0.06012000000000001,0.48319999999999996,0.029049984,0.0,0.2195190976,87.4,GOOD
175802,28.5,85.0,150.3,120.3,indoor,24.225,18081.09,5.01926462079431,4.798266815950004,1.2390766694146744,-1,0.06012000000000001,0.48119999999999996,0.028929744,0.0,0.2190610616,87.2,GOOD
180802,28.5,85.0,132.5,120.2,indoor,24.225,15926.5,4.894101477840304,4.797442073635214,1.0932343234323432,-1,0.053,0.4808,0.0254824,0.0,0.21503835999999998,85.4,GOOD
185802,28.5,85.0,132.5,120.1,indoor,24.225,15913.25,4.894101477840304,4.796616650559047,1.0941370767960363,-1,0.053,0.4804,0.0254612,0.0,0.21494718000000002,85.3,GOOD
190802,28.5,85.0,119.4,119.7,indoor,24.225,14292.18,4.79081953287472,4.793308128103486,0.9892294946147472,-1,0.047760000000000004,0.4788,0.022867488000000002,0.0,0.2116909232,83.9,GOOD
195802,28.5,85.0,129.2,120.1,indoor,24.225,15516.919999999998,4.869071729774468,4.796616650559047,1.0668868703550785,-1,0.05168,0.4804,0.024827072,0.0,0.2142184608,85.0,GOOD
200802,28.5,85.0,119.4,119.5,indoor,24.225,14268.3,4.79081953287472,4.791649752930709,0.9908713692946058,-1,0.047760000000000004,0.478,0.02282928,0.0,0.211509192,83.8,GOOD
205802,28.5,85.0,116.3,120.0,indoor,24.225,13956.0,4.76473475565943,4.795790545596741,0.9611570247933884,-1,0.04652,0.48,0.0223296,0.0,0.21127904000000003,83.7,GOOD
210802,28.5,85.0,116.3,120.2,indoor,24.225,13979.26,4.76473475565943,4.797442073635214,0.9595709570957096,-1,0.04652,0.4808,0.022366816,0.0,0.21146062239999996,83.7,GOOD
215802,28.5,85.0,113.3,119.6,indoor,24.225,13550.679999999998,4.738826570800765,4.792479284293085,0.939469320066335,-1,0.04532,0.4784,0.021681087999999998,0.0,0.2102537632,83.2,GOOD
220802,28.5,85.0,119.4,119.5,indoor,24.225,14268.3,4.79081953287472,4.791649752930709,0.9908713692946058,-1,0.047760000000000004,0.478,0.02282928,0.0,0.211509192,83.8,GOOD
225802,28.5,85.0,135.9,120.4,indoor,24.225,16362.36,4.919250732294404,4.799090878625398,1.1194398682042834,-1,0.054360000000000006,0.48160000000000003,0.026179776000000002,0.0,0.21597176640000004,85.8,GOOD
230802,28.5,85.0,125.9,119.6,indoor,24.225,15057.64,4.843399374720342,4.792479284293085,1.0439469320066337,-1,0.05036,0.4784,0.024092224,0.0,0.21303463360000002,84.5,GOOD
235802,28.5,85.0,129.2,119.4,indoor,24.225,15426.48,4.869071729774468,4.79081953287472,1.0730897009966776,-1,0.05168,0.4776,0.024682368,0.0,0.21358075520000003,84.7,GOOD
240802,28.5,85.0,119.4,119.5,indoor,24.225,14268.3,4.79081953287472,4.791649752930709,0.9908713692946058,-1,0.047760000000000004,0.478,0.02282928,0.0,0.211509192,83.8,GOOD
245802,28.5,85.0,107.3,119.1,indoor,24.225,12779.429999999998,4.684905154006945,4.788324729085938,0.8934221482098251,-1,0.04292,0.4764,0.020447088,0.0,0.20847666320000002,82.4,GOOD
250802,28.5,85.0,116.3,119.2,indoor,24.225,13862.96,4.76473475565943,4.789157022101107,0.9675540765391014,1,0.04652,0.4768,0.022180736,0.0,0.1305527104,48.1,GOOD
255802,28.5,85.0,107.3,119.1,indoor,24.225,12779.429999999998,4.684905154006945,4.788324729085938,0.8934221482098251,-1,0.04292,0.4764,0.020447088,0.0,0.20847666320000002,82.4,GOOD
260802,28.5,85.0,113.3,118.9,indoor,24.225,13471.37,4.738826570800765,4.786658062033468,0.9449541284403667,-1,0.04532,0.4756,0.021554192,0.0,0.2096187288,82.9,GOOD
265802,28.5,85.0,110.3,118.8,indoor,24.225,13103.64,4.712229258281499,4.785823685681349,0.9207011686143572,-1,0.04412,0.4752,0.020965823999999997,0.0,0.2088664736,82.6,GOOD
270802,28.5,85.0,119.4,118.5,indoor,24.225,14148.9,4.79081953287472,4.783316371371566,0.999163179916318,1,0.047760000000000004,0.474,0.022638240000000004,0.0,0.13060053600000002,48.1,GOOD
275802,28.5,85.0,119.4,118.4,indoor,24.225,14136.96,4.79081953287472,4.782479200958502,1.0,1,0.047760000000000004,0.4736,0.022619136,0.0,0.1305096704,48.1,GOOD
280802,28.5,85.0,98.9,118.3,indoor,24.225,11699.87,4.604169685654508,4.78164132910387,0.829002514668902,1,0.039560000000000005,0.4732,0.018719792000000002,0.0,0.1259007688,46.1,GOOD
285802,28.5,84.0,98.9,118.0,indoor,23.94,11670.2,4.604169685654508,4.77912349311153,0.83109243697479,1,0.039560000000000005,0.472,0.018672320000000003,0.0,0.125629648,46.0,GOOD
290802,28.5,84.0,98.9,117.4,indoor,23.94,11610.86,4.604169685654508,4.774068722449905,0.8353040540540541,1,0.039560000000000005,0.4696,0.018577376,0.0,0.1250874064,45.8,GOOD
